Latitude,Longitude,Type
-29.325077,141.316417,3
-29.75417,143.2355,3
-35.83759,145.641211,3
-29.098214,144.600163,3
-29.085458,146.249667,3
-29.072701,147.213094,3
-29.059942,148.745819,3
-28.8118,150.856459,3
-29.158986,151.650262,3
-28.351157,152.508961,3
-28.364227,153.036226,3
-28.370762,153.214456,3
-29.119531,152.999095,3
-29.229761,152.843143,3
-29.525822,152.984242,3
-29.1552,153.434463,3
-29.430981,153.127398,3
-29.618939,152.881488,3
-29.648493,152.899433,3
-29.657651,152.976424,3
-34.004641,143.94762,3
-33.22683,143.715712,3
-32.670014,142.506136,3
-35.093247,149.406303,3
-35.450891,148.664962,3
-35.472848,148.954759,3
-34.265577,149.673703,3
-34.463785,149.263502,3
-33.954941,149.448593,3
-33.819514,151.294752,3
-33.851486,151.213387,3
-33.872524,151.265032,3
-33.891534,151.285008,3
-33.939649,151.261134,3
-33.966825,151.203958,3
-33.964791,151.180408,3
-33.972115,151.150236,3
-33.98554,151.123744,3
-35.524435,149.514354,3
-36.059204,149.443585,3
-36.512259,149.310097,3
-36.548954,149.222276,3
-36.472015,149.124795,3
-36.439155,149.070843,3
-35.83432,149.005869,3
-35.155038,149.102642,3
-35.203094,149.004652,3
-35.235115,148.950757,3
-35.275124,148.885839,3
-35.302602,148.864424,3
-35.313378,148.925184,3
-35.322869,148.913968,3
-36.799213,149.18306,3
-36.696899,148.789786,3
-36.752592,148.247784,3
-37.387524,149.822014,3
-37.194847,149.398183,3
-36.446745,149.756821,3
-36.859951,149.274947,3
-30.99474,145.769162,3
-31.530034,145.270449,3
-31.784496,145.966098,3
-31.709797,145.923594,3
-32.131551,146.028632,3
-32.187529,144.928596,3
-33.992707,141.456584,3
-33.423853,141.291026,3
-32.827054,141.283827,3
-33.769033,142.781877,3
-33.557864,142.781877,3
-33.461707,143.243177,3
-33.940983,149.68013,3
-28.857703,149.719462,3
-36.962383,149.162127,3
-35.500056,147.930012,3
-34.867078,147.965216,3
-34.895957,149.84859,3
-29.36656,141.312172,3
-29.274673,142.239586,3
-30.208012,141.691569,3
-29.696666,143.33562,3
-29.531747,144.052257,3
-30.499025,143.841481,3
-31.078442,141.459715,3
-32.926134,145.721582,3
-32.555106,146.96614,3
-31.995679,145.233211,3
-32.155867,145.831859,3
-32.727561,146.88737,3
-33.111067,146.556539,3
-33.479768,146.383246,3
-32.899683,147.344233,3
-32.621474,147.359987,3
-32.155867,146.934632,3
-32.979012,146.068168,3
-32.965795,146.426527,3
-33.312807,146.268652,3
-28.85291,149.34721,3
-29.198025,147.07776,3
-29.232473,146.722542,3
-29.094612,146.268652,3
-29.129094,146.722542,3
-29.085989,146.248918,3
-29.123392,145.865936,3
-29.100324,145.126649,3
-30.170552,142.819823,3
-29.891462,143.303374,3
-29.813797,144.216748,3
-29.315319,141.082621,3
-29.549287,141.046803,3
-29.798257,141.207986,3
-30.077609,141.136349,3
-29.362156,141.566172,3
-29.315319,141.924358,3
-29.346546,142.407909,3
-29.43799,142.70172,3
-29.398499,143.087089,3
-29.792723,142.747057,3
-29.65492,143.313777,3
-29.595803,143.744485,3
