station_id,road_name,suburb,cardinal_direction_name,classification_type,year,period,traffic_count,wgs84_latitude,wgs84_longitude,Heavy traffic 2021
1001,Bradfield Highway,Milsons Point,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2007,ALL DAYS,4269,-33.852116,151.21077,4907
4021,Pacific Highway,Clarenza,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2008,ALL DAYS,1649,-29.671843,152.980179,1877
4023,Pacific Highway,Cowper,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2011,ALL DAYS,1758,-29.569933,153.082779,1942
4026,Yamba Road,James Creek,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2011,ALL DAYS,312,-29.432274,153.247864,345
4039,Pacific Highway,West Ballina,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2007,ALL DAYS,2139,-28.865534,153.504913,2459
4040,River Street,West Ballina,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2007,ALL DAYS,2116,-28.86499,153.52594,2432
4055,Coleman Street,Bexhill,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2011,ALL DAYS,680,-28.766396,153.344452,751
4066,Pacific Highway,Ewingsdale,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2011,ALL DAYS,2397,-28.642416,153.547958,2648
4078,Tweed Valley Way,Burringbar,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2011,ALL DAYS,221,-28.436987,153.47641,244
4095,Bruxner Highway,South Gundurimba,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2011,ALL DAYS,684,-28.871071,153.257065,756
4098,Bruxner Highway,Mckees Hill,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2012,ALL DAYS,522,-28.878996,153.194489,571
4109,Bruxner Highway,Mummulgum,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2007,ALL DAYS,111,-28.89505,152.750992,128
4116,Pacific Highway,Broadwater,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2011,ALL DAYS,1707,-28.992689,153.461746,1886
4123,Pacific Highway,Woombah,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2011,ALL DAYS,1737,-29.347635,153.244537,1919
