Station name,Station address,Latitude,Longitude,Opening hours,Operator,Number of station,Number of plugs,Rating,Tesla (Fast),CCS/SAE,CHAdeMO,Address of nearest destination charger,Distance to the nearest destination charger (km),Energy required to nearest destination charger (kWh),Address of nearest fast charger,Distance to the nearest fast charger (km),Energy required to nearest fast charger (kWh),ObjectId,date_new
Moppett St Car Park,"406 Moppett St, Hay NSW 2711, Australia",-34.508903,144.842785,Open 24/7,NRMA,1,2,50 kW,0,1,1,"74 Lachlan Street, Hay, NSW",0.38,0.08,"85 Market St, Balranald NSW 2715, Australia",131.72,39.2,1,5/5/2022
Narrandera Park,"31 Twynam St, Narrandera NSW 2700, Australia",-34.746497,146.550076,Open 24/7,NRMA,1,2,50 kW,0,1,1,"Dooley Lane, Leeton NSW 2705, Australia",29.62,6.17,"33 Powell St, Jerilderie NSW 2716, Australia",108.68,31.96,2,5/5/2022
"Luke Park (Opposite Park, Behind Civic Hall)","33 Powell St, Jerilderie NSW 2716, Australia",-35.354863,145.725113,Open 24/7,NRMA,1,2,50 kW,0,1,1,"399 Cressy Street, Deniliquin NSW 2710",86.98,22.11,"31 Twynam St, Narrandera NSW 2700, Australia",108.45,32.27,3,5/5/2022
Balranald Discovery Centre,"85 Market St, Balranald NSW 2715, Australia",-34.639541,143.564708,Open 24/7,NRMA,1,2,50 kW,0,1,1,"2/28 Nixon St, Euston NSW 2737, Australia",80.32,23.22,"406 Moppett St, Hay NSW 2711, Australia",131.72,39.49,4,5/5/2022
Shire St Parking,"13-15 Shire St, West Wyalong NSW 2671, Australia",-33.923735,147.203554,Open 24/7,NRMA,1,2,50 kW,0,1,1,"14 Cross St, Forbes NSW 2871, Australia",104.62,28.07,"Car park, Little Hoskins St, Temora NSW 2666 (behind Council Chambers)",68.55,14.18,5,5/5/2022
Temora Shire Council [NRMA],"Car park, Little Hoskins St, Temora NSW 2666 (behind Council Chambers)",-34.446266,147.534441,Open 24/7,NRMA,1,2,50 kW,0,1,1,"39 Seignior St, Junee, , Australia, NSW 2663",59.62,13.92,"13-15 Shire St, West Wyalong NSW 2671, Australia",68.55,13.93,6,5/5/2022
Submarine Park,"7 Prospect St, Holbrook NSW 2644, Australia",-35.717574,147.317769,Open 24/7,NRMA,1,2,50 kW,0,1,1,"471 Young St, Albury NSW 2640, Australia",63.45,18.17,"441 Kiewa St, Albury NSW 2640, Australia",64.2,18.38,7,5/5/2022
Wagga Wagga Cross St Car Park,"Car park, 8 Cross St, Wagga Wagga, NSW 2650",-35.108358,147.37355,Open 24/7,NRMA,1,2,50 kW,0,1,1,"153 Fitzmaurice Street, Wagga Wagga, New South Wales, Australia, NSW 2650",1.27,0.17,"32 Sydney St, Tarcutta NSW 2652, Australia",45.7,9.29,8,5/5/2022
Kiewa St Car Park Rooftop,"441 Kiewa St, Albury NSW 2640, Australia",-36.083744,146.914742,Open 24/7,NRMA,1,2,50 kW,0,1,1,"550 Kiewa St, Albury NSW 2640, Australia",1,0.18,"565 Mudge St, Hamilton Valley NSW 2641, Australia",9.52,2.13,9,5/5/2022
Albury Waste Management Centre,"565 Mudge St, Hamilton Valley NSW 2641, Australia",-36.028509,146.895876,Opening hours 7AM - 5PM weekdays 9AM - 4PM weekends,Chargefox,1,2,50 kW,0,1,1,"416 Wagga Road, Lavington, NSW, 2641",5.42,0.66,"441 Kiewa St, Albury NSW 2640, Australia",10.12,1.68,10,5/5/2022
