Station name,Station address,Latitude,Longitude,Opening hours,Operator,Number of station,Number of plugs,Rating,Tesla,Type 2,J-1772,Tesla (Fast),CCS/SAE,CHAdeMO,Address of nearest destination charger ,Distance to the nearest destination charger (km),Energy required to nearest destination charger (kWh),Address of nearest fast charger,Distance to the nearest fast charger (km),Energy required to nearest fast charger (kWh),date
Coomealla Motel,"1 Matong St, Dareton NSW 2717, Australia",-34.0946142,142.0388599,Open 24/7,,2,2,11kW,1,1,0,0,0,0,"2/28 Nixon St, Euston NSW 2737, Australia",93.8,25.16,"85 Market St, Balranald NSW 2715, Australia",172.55,49.25,1/1/2020
Euston Bowling & Recreation Club,"2/28 Nixon St, Euston NSW 2737, Australia",-34.5801684,142.7433766,"Open 24/7
10.30am - 11.00pm daily",Chargebay,1,2,22 kW,0,1,1,0,0,0,"1 Matong St, Dareton NSW 2717, Australia",94.2,25.15,"85 Market St, Balranald NSW 2715, Australia",80.5,23.4,1/1/2020
Emaroo Cottages,"18 Tramway Terrace, Broken Hill NSW 2880",-31.9602133,141.445376,,,1,1,11kW,1,0,0,0,0,0,"1 Matong St, Dareton NSW 2717, Australia",278.3,80.4,"Kintore Headframe Car Park, 51 Bromide St, Broken Hill, NSW 2880, Australia",2.05,0.27,23/8/2022
Rich River Golf Club,"Twenty Four Lane, Moama NSW 2731, Australia",-36.0390474,144.7327343,Open 24/7,,4,4,22kW,0,4,0,0,0,0,"54-56 Meninya Street, Moama NSW 2731",6,0.98,"7 Blair St, Moama NSW 2731, Australia",6.48,1.02,10/3/2023
Meninya Palms Moama,"54-56 Meninya Street, Moama NSW 2731",-36.1110923,144.7540341,Contact 0354823311 to obtain available hours,Tesla Destination,2,2,22 kW,2,0,0,0,0,0,"7 Blair St, Moama NSW 2731, Australia",0.55,0.11,"7 Blair St, Moama NSW 2731, Australia",0.55,0.11,1/1/2020
Moama Bowling Club,"7 Blair St, Moama NSW 2731, Australia",-36.1135087,144.7577655,"Open 24/7
Sun - Thu 10am - 1am, Fri - Sat 10am - 2am",Chargebay,1,2,kW,0,1,1,0,0,0,"54-56 Meninya Street, Moama NSW 2731",0.6,0.13,"33 Powell St, Jerilderie NSW 2716, Australia",161.85,40.43,10/3/2023
Deniliquin RSL,"72 End St, Deniliquin NSW 2710, Australia",-35.5357142,144.9672818,"Open 24/7
9:00am to 11:00pm",Chargebay,4,8,kW,0,4,4,0,0,0,"399 Cressy Street, Deniliquin NSW 2710",1.2,0.19,"7 Blair St, Moama NSW 2731, Australia",73.2,18.64,10/3/2023
Centrepoint Motel Deniliquin,"399 Cressy Street, Deniliquin NSW 2710",-35.526584,144.961652,,EVUp,3,3,7kW,0,3,0,0,0,0,"72 End St, Deniliquin NSW 2710, Australia",1.15,0.19,"7 Blair St, Moama NSW 2731, Australia",74.55,18.91,10/3/2023
Bidgee Motor Inn Hay 74 Lachlan Street Hay NSW 2711,"74 Lachlan Street, Hay, NSW",-34.5111834,144.8426144,7.00am 9.00pm,,2,2,kW,2,0,0,0,0,0,"399 Cressy Street, Deniliquin NSW 2710",123,35.49,"406 Moppett St, Hay NSW 2711, Australia",0.57,0.11,10/3/2023
The Crossing Motel,"39 Seignior St, Junee, , Australia, NSW 2663",-34.8712534,147.5820007,,Tesla Destination,2,2,22 kW,2,0,0,0,0,0,"153 Fitzmaurice Street, Wagga Wagga, New South Wales, Australia, NSW 2650",36.45,7.49,"Car park, 8 Cross St, Wagga Wagga, NSW 2650",37.42,7.43,1/1/2020
Thredbo Alpine Hotel,"89 Mowamba Pl, Kosciuszko National Park NSW 2625, Australia",-36.5047369,148.3046726,Open 24/7,Tesla Destination,1,1,14 kW,0,1,0,0,0,0,"24 Diggings Terrace, Thredbo NSW 2625, Australia",0.92,0.28,"Corner of Snowy River Avenue and, Kalkite St, Jindabyne NSW 2627",35.62,7.32,1/1/2020
Elm Cottage Tumut,"722 Little River Rd, Tumut NSW 2720, Australia",-35.3308426,148.3492753,,Tesla Destination,2,2,22 kW,2,0,0,0,0,0,2 Fitzroy st tumut NSW 2720,12.95,1.95,"31 Annie Pyers Dr., Gundagai NSW 2722, Australia",53.62,10.74,1/1/2020
Howlong Golf Resort,"186 Golf Club Dr, Howlong NSW 2643, Australia",-35.9841874,146.6432731,,Tesla Destination,2,2,22 kW,2,0,0,0,0,0,"648 Dean Street, Albury, New South Wales, Australia, NSW 2640",29.1,6.82,"441 Kiewa St, Albury NSW 2640, Australia",29.4,6.98,1/1/2020
Hillview Farmstay,"3241 Hume Hwy, Mount Adrah NSW 2729, Australia",-35.1964853,147.8178208,,Tesla Destination,2,2,22 kW,2,0,0,0,0,0,"Don Kendall Dr, Wagga Wagga, , Australia, NSW 2651",41.2,10.42,"32 Sydney St, Tarcutta NSW 2652, Australia",12.85,2.68,1/1/2020
Valet Park and Fly Wagga Airport,"Don Kendall Dr, Wagga Wagga, , Australia, NSW 2651",-35.157577,147.4594566,,Tesla Destination,1,1,22 kW,1,0,0,0,0,0,"153 Fitzmaurice Street, Wagga Wagga, New South Wales, Australia, NSW 2650",13.9,2.42,"Car park, 8 Cross St, Wagga Wagga, NSW 2650",11.6,2.03,1/1/2020
Mino + Co Wines Cellar Door,"113 Hanwood Ave, Hanwood NSW 2680, Australia",-34.3398882,146.0589659,,Tesla Destination,2,2,22 kW,2,0,0,0,0,0,"1 Jondaryan Avenue, Griffith NSW 2680, Australia",6.85,1.32,"31 Twynam St, Narrandera NSW 2700, Australia",78.58,16.22,1/1/2020
Tinkersfield - Crackenback ,"1 Post Office Ln, Crackenback NSW 2627, Australia",-36.4501552,148.4953356,Open 24/7,Exploren,2,2,22 kW,0,2,0,0,0,0,"1650 Alpine Way, Crackenback NSW 2627, Australia",5.48,1.41,"Corner of Snowy River Avenue and, Kalkite St, Jindabyne NSW 2627",14.15,2.63,10/3/2023
Thirsty Crow Brewery,"153 Fitzmaurice Street, Wagga Wagga, New South Wales, Australia, NSW 2650",-35.1029372,147.3688004,,Tesla Destination,1,1,8 kW,1,0,0,0,0,0,"15-21 Goonigul Ave, Wagga Wagga NSW 2650, Australia",1.48,0.21,"Car park, 8 Cross St, Wagga Wagga, NSW 2650",0.92,0.16,1/1/2020
Sycamore St Car Park,"Dooley Lane, Leeton NSW 2705, Australia",-34.5509165,146.4031205,Open 24/7,Tesla Destination,1,1,22 kW,1,0,0,0,0,0,"38 Acacia Ave, Leeton NSW 2705, Australia",1.08,0.16,"31 Twynam St, Narrandera NSW 2700, Australia",29.4,6.01,23/8/2022
Shaw Wines,"34 Isabel Dr, Murrumbateman NSW 2582, Australia",-34.9761042,149.0082813,,Tesla Destination,3,4,22 kW,1,3,0,0,0,0,"86 Meehan St, Yass NSW 2582, Australia",23.05,4.52,"2 Hercules St, Murrumbateman NSW 2582, Australia",3.4,0.42,23/8/2022
Wagga RSL,"10-16 Goonigul Ave, Wagga Wagga NSW 2650, Australia",-35.1083087,147.3589146,,,2,2,kW,0,2,0,0,0,0,"15-21 Goonigul Ave, Wagga Wagga NSW 2650, Australia",0.02,0.02,"Car park, 8 Cross St, Wagga Wagga, NSW 2650",1.75,0.27,10/3/2023
Siesta,"416 Wagga Road, Lavington, NSW, 2641",-36.045906,146.9435137,"Open 24/7
24h",,4,4,22kW,0,4,0,0,0,0,"471 Young St, Albury NSW 2640, Australia",5.35,0.86,"441 Kiewa St, Albury NSW 2640, Australia",6.35,1.04,10/3/2023
Winsor Park Motor Inn,"471 Young St, Albury NSW 2640, Australia",-36.083147,146.9228134,"Open 24/7
Check with staff to use the charger outside office hours",,1,1,kW,0,1,0,0,0,0,"648 Dean Street, Albury, New South Wales, Australia, NSW 2640",1.58,0.22,"441 Kiewa St, Albury NSW 2640, Australia",1.62,0.23,23/8/2022
Middys Leeton,"38 Acacia Ave, Leeton NSW 2705, Australia",-34.5552503,146.3996918,"Weekdays 7am - 5pm, Saturdays 8am - 11am",,1,1,kW,0,1,0,0,0,0,"Dooley Lane, Leeton NSW 2705, Australia",1.08,0.21,"31 Twynam St, Narrandera NSW 2700, Australia",29.18,6.02,10/3/2023
Middy's Griffith,"120 Yambil St, Griffith NSW 2680, Australia",-34.2896284,146.0454239,Open 24/7,,1,1,kW,0,1,0,0,0,0,"1 Jondaryan Avenue, Griffith NSW 2680, Australia",0.75,0.14,"31 Twynam St, Narrandera NSW 2700, Australia",83.3,17.16,10/3/2023
Riverglade Caravan Park,2 Fitzroy st tumut NSW 2720,-35.2947005,148.2198133,Open 24/7,Elanga,2,4,22kW,0,4,0,0,0,0,"1/5 Capper St, Tumut NSW 2720, Australia",0.82,0.16,"31 Annie Pyers Dr., Gundagai NSW 2722, Australia",41,9.47,10/3/2023
Griffith Visitor Information Centre,"1 Jondaryan Avenue, Griffith NSW 2680, Australia",-34.2891433,146.050738,Open 24/7,Tesla Destination,2,2,22 kW,2,0,0,0,0,0,"120 Yambil St, Griffith NSW 2680, Australia",0.72,0.12,"31 Twynam St, Narrandera NSW 2700, Australia",84.52,18.16,10/3/2023
Cowra Visitors Information Centre,"2 Lachlan Valley Way, Cowra, Australia, NSW 2794",-33.8356839,148.6803744,,Tesla Destination,2,4,22 kW,2,2,0,0,0,0,"107 Brisbane St, Cowra NSW 2794, Australia",1.62,0.41,"77 Darling St, Cowra NSW 2794, Australia",1.95,0.42,10/3/2023
Tumut River Brewing Co,"1/5 Capper St, Tumut NSW 2720, Australia",-35.2954172,148.2152901,,Tesla Destination,2,2,22 kW,0,2,0,0,0,0,2 Fitzroy st tumut NSW 2720,0.82,0.14,"31 Annie Pyers Dr., Gundagai NSW 2722, Australia",40.4,9.6,1/1/2020
Atura Hotel Albury,"648 Dean Street, Albury, New South Wales, Australia, NSW 2640",-36.0798273,146.9123515,,Tesla Destination,1,1,8 kW,1,0,0,0,0,0,"550 Kiewa St, Albury NSW 2640, Australia",0.6,0.13,"441 Kiewa St, Albury NSW 2640, Australia",1.38,0.18,10/3/2023
Rydges Horizon Snowy Mountains,"10 Kosciuszko Rd, Jindabyne NSW 2627, Australia",-36.4150038,148.6169145,Open 24/7,Tesla Destination,2,2,22 kW,2,0,0,0,0,0,"1 Post Office Ln, Crackenback NSW 2627, Austr, Crackenback 2627",14.25,4.25,"Corner of Snowy River Avenue and, Kalkite St, Jindabyne NSW 2627",0.42,0.15,10/3/2023
Quest Albury,"550 Kiewa St, Albury NSW 2640, Australia",-36.0780605,146.9167911,,Exploren,4,4,22 kW,0,4,0,0,0,0,"648 Dean Street, Albury, New South Wales, Australia, NSW 2640",0.6,0.1,"441 Kiewa St, Albury NSW 2640, Australia",1,0.12,10/3/2023
Cowra Services Club Motel,"107 Brisbane St, Cowra NSW 2794, Australia",-33.8333806,148.6918489,,,2,2,kW,0,2,0,0,0,0,"2 Lachlan Valley Way, Cowra, Australia, NSW 2794",1.25,0.1,"77 Darling St, Cowra NSW 2794, Australia",0.8,0.15,10/3/2023
Squatters Run Thredbo,"24 Diggings Terrace, Thredbo NSW 2625, Australia",-36.5047011,148.305452,,,1,1,kW,0,1,0,0,0,0,"89 Mowamba Pl, Kosciuszko National Park NSW 2625, Australia",0.98,0.19,"Corner of Snowy River Avenue and, Kalkite St, Jindabyne NSW 2627",35.17,7.33,10/3/2023
Wagga Wagga RSL Motel,"15-21 Goonigul Ave, Wagga Wagga NSW 2650, Australia",-35.1079439,147.35837,,,2,2,kW,0,2,0,0,0,0,"10-16 Goonigul Ave, Wagga Wagga NSW 2650, Australia",0.02,0.01,"Car park, 8 Cross St, Wagga Wagga, NSW 2650",1.8,0.28,10/3/2023
Yass Soldiers Club,"86 Meehan St, Yass NSW 2582, Australia",-34.841875,148.9126594,,Tesla Destination,2,2,22 kW,2,0,0,0,0,0,"34 Isabel Dr, Murrumbateman NSW 2582, Australia",23.2,5.76,"81 Meehan St, Yass NSW 2582, Australia",0.18,0.06,10/3/2023
Lake Crackenback Resort,"1650 Alpine Way, Crackenback NSW 2627, Australia",-36.4449313,148.4500545,Open 24/7,Tesla Destination,2,2,22 kW,2,0,0,0,0,0,"1 Post Office Ln, Crackenback NSW 2627, Austr, Crackenback 2627",5.48,1.31,"Corner of Snowy River Avenue and, Kalkite St, Jindabyne NSW 2627",19.55,4.18,10/3/2023
Country Mile Motor Inn,"14 Cross St, Forbes NSW 2871, Australia",-33.383493,148.0099019,,Tesla Destination,2,2,22 kW,2,0,0,0,0,0,"2 Ween St, Peak Hill, NSW, Australia, NT 2869",81.72,21.21,"27 Dalton St, Parkes NSW 2870, Australia",32.62,8.29,10/3/2023
Petrichor Farm,"89 Haskins Way, Gundaroo, , Australia, NSW 2620",-35.1076424,149.2798015,,Tesla Destination,1,1,7 kW,1,0,0,0,0,0,"59 Ellendon St, Bungendore NSW 2621, Australi, Bungendore 2621",28.12,6.68,"2 Hercules St, Murrumbateman NSW 2582, Australia",34.2,6.52,1/1/2020
Berrara Beach Holiday Chalets,"22 Berrara Rd, Berrara, Australia, NSW 2540",-35.2096831,150.5493543,,Tesla Destination,2,2,22 kW,2,0,0,0,0,0,17 Golf Ave Mollymook Beach NSW 2539,48.9,11.39,"640 Princes Hwy, Jaspers Brush NSW 2535, Australia",60.12,13.29,1/1/2020
Bangalay Luxury Villas,"30 Staples St, Shoalhaven Heads NSW 2535, Australia",-34.8503263,150.7482861,,Tesla Destination,4,4,22 kW,4,0,0,0,0,0,"11 Coolangatta Rd, Coolangatta NSW 2535, Australia",3.1,0.62,"140 Queen St, Berry NSW 2535, Australia",11.58,2.4,1/1/2020
Wakefield Park Raceway,"4770 Braidwood Rd, Tirrannaville NSW 2580, Australia",-34.8404055,149.6867208,,,1,2,kW,2,0,0,0,0,0,"201 Sloane St, Goulburn NSW 2580, Australia",10.85,2.14,"201 Sloane St, Goulburn NSW 2580, Australia",10.85,2.14,1/1/2020
Moruya Golf Club ,"28A Evans St, Moruya, NSW, Australia, NSW 2537",-35.9139953,150.0753668,,Tesla Destination,2,2,11 kW,2,0,0,0,0,0,"36-38 Vulcan St, Moruya NSW 2537, Australia",1.08,0.15,"12 Vesper St, Batemans Bay NSW 2536, Australia",27.3,6.73,1/1/2020
Woolworths Bomaderry,"160 Cambewarra Rd, Bomaderry NSW 2541",-34.8434708,150.5960188,Open 24/7,Chargefox,2,4,kW,0,4,0,0,0,0,"63 Graham St, Nowra NSW 2541, Australia, Nowra 2541",3.6,0.46,"640 Princes Hwy, Jaspers Brush NSW 2535, Australia",6.92,1.35,1/1/2020
Discovery Parks Pambula Beach,"1 Pambula Beach Rd, Pambula Beach NSW 2549, Australia",-36.94185,149.9066006,,Tesla Destination,1,1,22 kW,1,0,0,0,0,0,"202 Arthur Kaine Dr, Merimbula NSW 2548, Australia",4.75,1.04,"176 Auckland St, Bega NSW 2550, Australia",37.5,9.72,10/3/2023
