Charging locations,Number of plugs,Number of plugs in 2023,Number of plugs in 2026,Number of plugs in 2031,Zone substation install capacity in 2021 (MVA),Zone substation available capacity in 2021 (MVA),Zone,Longitude,Latitude,Time
"BUCKETTY, NSW",4,4,7,34,25.45,17.96,1 km,151.1402278,-33.11128874,1/1/2023
"SYDNEY, NSW",4,4,5,21,130.32,-2.01,1 km,151.2015802,-33.86051951,1/1/2023
"ALISON, NSW",4,4,10,37,54.01,6.72,1 km,151.377213,-33.208801,1/1/2023
"BATEAU BAY, NSW",2,2,4,13,71.69,33.08,1 km,151.519708,-33.315827,1/1/2023
"DARLINGHURST, NSW",2,2,2,4,80.59,49.02,1 km,151.212262,-33.884119,1/1/2023
"CROMER, NSW",4,4,4,13,58.78,15.19,1 km,151.279999,-33.748914,1/1/2023
"BANKSTOWN, NSW",4,4,4,15,91.95,46.93,1 km,151.014937,-33.926559,1/1/2023
"ASQUITH, NSW",2,2,4,13,114.32,37.08,1 km,151.097508,-33.691922,1/1/2023
"CROWS NEST, NSW",2,2,4,9,136.82,59.95,1 km,151.192212,-33.828361,1/1/2023
"BONDI, NSW",2,2,2,6,92.98,59.52,1 km,151.268968,-33.891041,1/1/2023
"CLOVELLY, NSW",2,2,4,12,92.98,59.52,1 km,151.239167,-33.914832,1/1/2023
"BOOKER BAY, NSW",2,2,2,6,35.7,3.46,1 km,151.374403,-33.520358,1/1/2023
"MAROUBRA, NSW",2,2,4,7,102.77,59.36,1 km,151.241292,-33.945635,1/1/2023
"BIRMINGHAM GARDENS, NSW",2,2,4,14,57.48,15.98,1 km,151.65807,-32.892577,1/1/2023
"BENNETTS GREEN, NSW",2,2,4,10,24.08,4.4,1 km,151.707801,-32.983963,1/1/2023
"AVOCA BEACH, NSW",2,2,2,8,59.83,24.91,1 km,151.401999,-33.482209,1/1/2023
"WATERLOO, NSW",2,2,4,5,83.6,6.38,1 km,151.206316,-33.903892,1/1/2023
"MOSMAN, NSW",2,2,4,10,89.05,10.93,1 km,151.243351,-33.830687,1/1/2023
"ELIZABETH BAY, NSW",2,2,4,6,80.59,49.02,1 km,151.221626,-33.873599,1/1/2023
"DENISTONE EAST, NSW",2,2,4,13,103.84,34.29,1 km,151.108447,-33.81658,1/1/2023
"CARINGBAH, NSW",2,2,2,6,38.11,11.32,1 km,151.120091,-34.05494,1/1/2023
"LANE COVE, NSW",2,2,5,21,67.14,7.83,1 km,151.160912,-33.818641,1/1/2023
"CHATSWOOD, NSW",2,2,4,9,90.65,23.36,1 km,151.17711,-33.798378,1/1/2023
"MARRICKVILLE, NSW",2,2,4,7,72.67,18.14,1 km,151.155539,-33.912288,1/1/2023
