Charging location,Number of plugs,Number of plugs in 2023,Number of plugs in 2026,Number of plugs in 2031,Zone substation installed capacity in 2023 (MVA),Zone substation available capacity in 2023 (MVA),Zone (km),Type,Latitude,Longitude,Time
"Bega, NSW",4,4,4,8,30,15.1,20km,Journey enablement,-36.68056791,149.831479,1/01/2023
"Tarcutta, NSW",4,4,4,8,6.9,3.1,20km,Journey enablement,-35.28335431,147.7166748,1/01/2023
Buronga NSW,4,4,4,20,39.7,-2.4,20km,Journey enablement,-34.17329117,142.1898025,1/01/2023
"Hay, NSW",4,4,4,8,10,3.6,20km,Journey enablement,-34.50418411,144.8441586,1/01/2023
"Gunnedah, NSW",4,4,4,8,30,5.2,20km,Journey enablement,-30.97942441,150.2461079,1/01/2023
"Narrabri, NSW",4,4,4,24,30,13.7,20km,Journey enablement,-30.32802835,149.7786371,1/01/2023
"Coonabarabran, NSW",4,4,4,7,13,4.4,20km,Journey enablement,-31.27345491,149.2773256,1/01/2023
"Forbes, NSW",4,4,4,12,30,15.2,20km,Journey enablement,-33.36663735,148.0218351,1/01/2023
"Wilcannia, NSW",4,4,4,4,3.5,2.5,20km,Journey enablement,-31.55870878,143.3787463,1/01/2023
"Broken hills, NSW",4,4,4,4,88.2,45.5,20km,Journey enablement,-31.95125654,141.4629446,1/01/2023
"Nyngan, NSW",4,4,4,4,10,1.1,20km,Journey enablement,-31.55015706,147.1762086,1/01/2023
"Bourke, NSW",4,4,4,4,10,2.9,20km,Journey enablement,-30.09331095,145.9429621,1/01/2023
"Walgett, NSW",4,4,4,5,10,5.1,20km,Journey enablement,-30.0224736,148.1164745,1/01/2023
"Moree, NSW",4,4,4,19,30,10.9,20km,Journey enablement,-29.46292196,149.8357509,1/01/2023
"Glen innes, NSW",4,4,4,5,20,11.9,20km,Journey enablement,-29.73747398,151.7383796,1/01/2023
"Willow Tree, NSW",4,4,4,6,13.3,6.5,20km,Journey enablement,-31.63710229,150.7227959,1/01/2023
"Narrandera, NSW",4,4,4,7,16,2,20km,Journey enablement,-34.74012302,146.5559219,1/01/2023
"Mittagong-Bowral, NSW",4,4,8,43,25,7.19,10km,Major towns,-34.45081557,150.4489285,1/01/2023
"Cooma,NSW",4,4,4,11,20,7.1,20km,Journey enablement,-36.23450396,149.1268611,1/01/2023
"Cowra,NSW",4,4,4,19,30,8.5,20km,Journey enablement,-33.83453885,148.6812105,1/01/2023
"Parkes, NSW",4,4,4,17,30,10.4,20km,Journey enablement,-33.14172239,148.1720098,1/01/2023
"West wyalong, NSW",4,4,4,5,8,-1.1,20km,Journey enablement,-33.91874404,147.1935743,1/01/2023
"Gilgandra,NSW",4,4,4,6,12,5,20km,Journey enablement,-31.69868028,148.6651375,1/01/2023
"Muswellbrook,NSW",4,4,4,16,47.64,21.83,20km,Journey enablement,-32.27879643,150.8982537,1/01/2023
"Pooncarie, NSW",4,4,4,4,8,5.1,20km,Journey enablement,-33.38528348,142.5701108,1/01/2023
"Menindee, NSW",4,4,4,4,5,4,20km,Journey enablement,-32.39567165,142.4132163,1/01/2023
"Ivanhoe, NSW",4,4,4,4,1,-0.1,20km,Journey enablement,-32.9001224,144.3005299,1/01/2023
"Hillston, NSW",4,4,4,4,16,2.7,20km,Journey enablement,-33.48682563,145.5327784,1/01/2023
"Condobolin, NSW",4,4,4,4,10,1.5,20km,Journey enablement,-33.08801497,147.1521962,1/01/2023
"Jerilderie, NSW",4,4,4,8,10,6.3,20km,Journey enablement,-35.35527235,145.723215,1/01/2023
"Balranald, NSW",4,4,4,4,10,6.1,20km,Journey enablement,-34.64220389,143.5671508,1/01/2023
"Coonamble, NSW",4,4,4,4,10,3.8,20km,Journey enablement,-30.95759161,148.3884464,1/01/2023
"Dunedoo, NSW",4,4,4,4,10,4.5,20km,Journey enablement,-32.01615914,149.3979499,1/01/2023
"Inverell, NSW",4,4,4,15,30,7.9,20km,Journey enablement,-29.77427023,151.1109517,1/01/2023
"Barraba, NSW",4,4,4,4,5,2.4,20km,Journey enablement,-30.38247195,150.6096493,1/01/2023
"Temora, NSW",4,4,4,15,10,1.9,20km,Journey enablement,-34.44663402,147.5342991,1/01/2023
"Gundagai, NSW",4,4,4,16,8,1.8,20km,Journey enablement,-35.06151192,148.101348,1/01/2023
"Maclean, NSW",4,4,4,23,16,7,20km,Journey enablement,-29.46060498,153.2017825,1/01/2023
"Molong, NSW",4,4,4,7,4,-0.5,20km,Journey enablement,-33.09428677,148.8656758,1/01/2023
"Hermidale, NSW",4,4,4,4,10,1.1,20km,Journey enablement,-31.54825577,146.7243633,1/01/2023
