latitude,longitude,Amenity
-33.8726959,151.2053533,Fast food
-33.8752145,151.2063707,Fast food
-33.8692467,151.2068015,Fast food
-33.8688387,151.2055847,Fast food
-33.8659704,151.2071808,Fast food
-33.8744316,151.2017956,Fast food
-33.8719511,151.1987067,Fast food
-33.8719244,151.1988945,Fast food
-33.8718599,151.1988086,Fast food
-33.8618326,151.2103851,Fast food
-33.8796726,151.2068286,Fast food
-33.8814298,151.2050526,Fast food
-33.872037,151.2094332,Fast food
-33.8773691,151.2070607,Fast food
-33.8744877,151.2066018,Fast food
-33.87293,151.2079897,Fast food
-33.873366,151.2087719,Fast food
-33.875508,151.206659,Fast food
-33.8725417,151.2075059,Fast food
-33.872409,151.2072356,Fast food
-33.8763585,151.2068548,Fast food
-33.8765709,151.2082518,Fast food
-33.879102,151.2035442,Fast food
-33.8791648,151.2035501,Fast food
-33.8792823,151.2036047,Fast food
-33.8792231,151.2035647,Fast food
-33.8659213,151.2050277,Fast food
-33.8613482,151.2114901,Fast food
-33.8678465,151.209253,Fast food
-33.8642728,151.2056205,Fast food
-33.8617844,151.2097688,Fast food
-33.8576101,151.2090641,Fast food
-33.8615218,151.2114816,Fast food
-33.8614998,151.2112048,Fast food
-33.8613841,151.2110173,Fast food
-33.8614937,151.211145,Fast food
-33.8798053,151.2059921,Fast food
-33.8830665,151.203526,Fast food
-33.8766178,151.2079254,Fast food
-33.8609893,151.2109902,Fast food
-33.8804568,151.2052383,Fast food
-33.8805158,151.2052183,Fast food
-33.8768589,151.2074143,Fast food
-33.8837627,151.2040751,Fast food
-33.8781991,151.2016366,Fast food
-33.8781875,151.2017105,Fast food
-33.8754159,151.2066293,Fast food
-33.8760541,151.2060412,Fast food
-33.8643552,151.2089645,Fast food
-33.8634513,151.2076836,Fast food
-33.8634866,151.2077242,Fast food
-33.8635252,151.2077198,Fast food
-33.8635673,151.2077165,Fast food
-33.8682187,151.2089376,Fast food
-33.8680037,151.209579,Fast food
-33.8680453,151.2095731,Fast food
-33.8656616,151.2061982,Fast food
-33.8645941,151.2026271,Fast food
-33.8653993,151.2013935,Fast food
-33.867461,151.2020521,Fast food
-33.8662528,151.208398,Fast food
-33.8720066,151.2074751,Fast food
-33.8662521,151.20835,Fast food
-33.8673221,151.2108427,Fast food
-33.8673311,151.2108979,Fast food
-33.8638264,151.2034606,Fast food
-33.863771,151.203457,Fast food
-33.8837391,151.2040312,Fast food
-33.8618318,151.2100228,Fast food
-33.8619387,151.2099584,Fast food
-33.872494,151.2073387,Fast food
