latitude,longitude,Amenity
-33.88141045,151.1967017,Fuel Station
-33.887697,151.2017056,Fuel Station
-33.86960116,151.2213108,Fuel Station
-33.9160107,151.1914026,Fuel Station
-33.9021221,151.1999981,Fuel Station
-33.89748707,151.1972713,Fuel Station
-33.8918325,151.213295,Fuel Station
-33.89367101,151.1995338,Fuel Station
-33.89223609,151.216077,Fuel Station
-33.901872,151.2083068,Fuel Station
-33.90181656,151.2143842,Fuel Station
-33.9229542,151.2059823,Fuel Station
-33.93099558,151.2055914,Fuel Station
-33.9527453,151.2012467,Fuel Station
-33.9231488,151.1911654,Fuel Station
-33.9283287,151.195171,Fuel Station
-33.9317289,151.1654468,Fuel Station
-33.9448013,151.1852027,Fuel Station
-33.93269389,151.1937046,Fuel Station
-33.88322419,151.2205018,Fuel Station
-33.8956033,151.2485509,Fuel Station
-33.8896854,151.2552458,Fuel Station
-33.88983129,151.2474546,Fuel Station
-33.8942909,151.2648553,Fuel Station
-33.88468598,151.2686267,Fuel Station
-33.8769469,151.2310469,Fuel Station
-33.8706686,151.2687799,Fuel Station
-33.86924222,151.277367,Fuel Station
-33.9190242,151.242171,Fuel Station
-33.9080593,151.2340952,Fuel Station
-33.9255288,151.2396187,Fuel Station
-33.9065417,151.2320232,Fuel Station
-33.9083093,151.247113,Fuel Station
-33.9208928,151.2356361,Fuel Station
-33.9091721,151.2485931,Fuel Station
-33.9344125,151.2371522,Fuel Station
-33.9196929,151.2268021,Fuel Station
-33.914618,151.2251041,Fuel Station
-33.9072267,151.2240757,Fuel Station
-33.91036279,151.2228655,Fuel Station
-33.9512451,151.2491253,Fuel Station
-33.9407251,151.2284427,Fuel Station
-33.9631942,151.2320406,Fuel Station
-33.9607217,151.2314171,Fuel Station
-33.9594355,151.2316029,Fuel Station
-33.8808315,151.1706049,Fuel Station
-33.88706775,151.1741031,Fuel Station
-33.8629825,151.1681789,Fuel Station
-33.865348,151.171634,Fuel Station
-33.8625602,151.1684801,Fuel Station
-33.8620738,151.1677494,Fuel Station
-33.88401337,151.1507763,Fuel Station
-33.8988868,151.1822011,Fuel Station
-33.8993156,151.1698233,Fuel Station
-33.9254695,151.1596656,Fuel Station
-33.9203498,151.1674838,Fuel Station
-33.9163714,151.1727987,Fuel Station
-33.9099039,151.1810055,Fuel Station
-33.91480065,151.1685046,Fuel Station
-33.881677,151.140095,Fuel Station
-33.87504166,151.1287265,Fuel Station
-33.88797722,151.1428707,Fuel Station
-33.8724749,151.1326862,Fuel Station
-33.8700626,151.1303601,Fuel Station
-33.8649257,151.1300835,Fuel Station
-33.8471891,151.1516113,Fuel Station
-33.8543268,151.1578877,Fuel Station
-33.8557583,151.1593035,Fuel Station
-33.8561853,151.1589896,Fuel Station
-33.8569665,151.1460084,Fuel Station
-33.8884658,151.1643635,Fuel Station
-33.8970631,151.1490703,Fuel Station
-33.8903365,151.1480056,Fuel Station
-33.89859875,151.1456055,Fuel Station
-33.8862573,151.1797756,Fuel Station
-33.8287882,151.2088466,Fuel Station
-33.82137894,151.210935,Fuel Station
-33.8105343,151.1773947,Fuel Station
-33.8287193,151.2061414,Fuel Station
-33.81998354,151.2011661,Fuel Station
-33.8110264,151.1640975,Fuel Station
-33.8235213,151.1724181,Fuel Station
-33.8242522,151.1724624,Fuel Station
-33.8244594,151.1727239,Fuel Station
-33.8166144,151.1515497,Fuel Station
-33.8140169,151.1767953,Fuel Station
-33.81459009,151.1543717,Fuel Station
-33.81128419,151.1755512,Fuel Station
-33.81718069,151.1517958,Fuel Station
-33.80597298,151.166249,Fuel Station
-33.79177577,151.1804943,Fuel Station
-33.80382099,151.1789691,Fuel Station
-33.7866654,151.201079,Fuel Station
-33.8059075,151.198949,Fuel Station
-33.8104028,151.1993085,Fuel Station
-33.7978328,151.1982281,Fuel Station
-33.79375172,151.19587,Fuel Station
-33.80388099,151.1997458,Fuel Station
-33.7848745,151.2009756,Fuel Station
-33.77798711,151.194609,Fuel Station
-33.78769296,151.1796074,Fuel Station
-33.77885868,151.1689993,Fuel Station
-33.7714519,151.1607469,Fuel Station
-33.74031538,151.1379772,Fuel Station
-33.76211375,151.1285532,Fuel Station
-33.75199695,151.1438136,Fuel Station
-33.733072,151.1264704,Fuel Station
-33.73310795,151.12635,Fuel Station
-33.7331592,151.1313592,Fuel Station
-33.74847616,151.1120327,Fuel Station
-33.72021259,151.1313603,Fuel Station
-33.70888039,151.1481712,Fuel Station
-33.7326531,151.1563747,Fuel Station
-33.7311906,151.1574696,Fuel Station
-33.7307802,151.1570298,Fuel Station
-33.71687033,151.1735942,Fuel Station
-33.7195727,151.1163267,Fuel Station
-33.7198451,151.1167287,Fuel Station
-33.72461968,151.0900355,Fuel Station
-33.7072631,151.0991255,Fuel Station
-33.6910109,151.0995688,Fuel Station
-33.6766707,151.098364,Fuel Station
-33.6899426,151.1059225,Fuel Station
-33.70214486,151.0996107,Fuel Station
-33.70210239,151.0997426,Fuel Station
-33.71062207,151.1024574,Fuel Station
-33.69092374,151.0996556,Fuel Station
-33.6704904,151.1153096,Fuel Station
-33.6268441,151.1479426,Fuel Station
-33.6281834,151.1477271,Fuel Station
-33.62341407,151.1505452,Fuel Station
-33.61557382,151.1416042,Fuel Station
-33.5483455,151.2077809,Fuel Station
-33.6801029,151.2250547,Fuel Station
-33.7347787,151.2212531,Fuel Station
-33.7401676,151.2091403,Fuel Station
-33.7596797,151.2119594,Fuel Station
-33.7594877,151.2191887,Fuel Station
-33.8044263,151.2448562,Fuel Station
-33.8046569,151.2524706,Fuel Station
-33.7598389,151.2139773,Fuel Station
-33.76041419,151.2185727,Fuel Station
-33.76175579,151.2070185,Fuel Station
-33.8176318,151.2434779,Fuel Station
